12b26j,0.7,反义重复
f2b25j,0.56,反义重复
72b24j,0.84,同义重复
22b23j,0.94,同义重复
22b22j,0.81,同义重复 生僻词汇
62b21j,0.8,反义重复
52b20j,0.71,同义重复
72b1zj,0.54,同义重复 生僻词汇
72b1yj,0.73,同义重复
22b1xj,0.53,反义重复 结构复杂 生僻词汇
22b0vj,0.56,生僻词汇 同义重复 反义重复
82b0uj,0.74,同义重复 反义重复 结构复杂
e2b0tj,0.74,同义重复 反义重复
f2b0sj,0.86,同义重复 反义重复
72b0rj,0.57,生僻词汇 同义重复 反义重复 熟词僻义
62b0qj,0.66,结构复杂 多次取反 生僻词汇
62b0pj,0.36,生僻词汇 反义重复
22b0oj,0.27,结构复杂 反义重复 生僻词汇
62b0nj,0.72,同义重复
02b0mj,0.61,生僻词汇 同义重复
c2b0lj,0.77,反义重复 生僻词汇
92b0kj,0.73,反义重复 生僻词汇
52b0jj,0.56,同义重复 生僻词汇
12b0ij,0.78,词汇生僻 结构复杂 反义重复
12b0hj,0.65,反义重复 生僻词汇
891jwk,0.56,生僻词汇 结构复杂 反义重复
92b0gj,0.61,反义重复 生僻词汇
32b0fj,0.75,反义重复
42b0ej,0.57,多次取反 同义重复 生僻词汇
22b0dj,0.8,反义重复 多次取反
a2b0cj,0.86,同义重复 生僻词汇
d2b0bj,0.63,同义重复 指代关系 生僻词汇
52b0aj,0.75,同义重复 生僻词汇
02b09j,0.72,同义重复 多次取反 生僻词汇
72b08j,0.63,结构复杂 同义重复
62b07j,0.65,同义重复 生僻词汇
72b06j,0.62,同义重复 生僻词汇
c2b05j,0.46,同义重复 生僻词汇
82b04j,0.3,同义重复 生僻词汇
62b03j,0.57,多次取反 反义重复 结构复杂
92b02j,0.73,同义重复 生僻词汇
f2b01j,0.65,同义重复 生僻词汇
02b00j,0.61,结构复杂 反义重复
02azzj,0.39,结构复杂 熟词僻义 同义重复
82azyj,0.61,反义重复 同义重复 生僻词汇
f2azxj,0.39,结构复杂 多次取反 生僻词汇 同义重复 反义重复
